index,speaker,speech_name,URL
77,Ursula Kroeber Le Guin,A Left-Handed Commencement Address,http://www.americanrhetoric.com/speeches/ursulakleguinlefthandedcommencementspeech.htm
78,Huey Pierce Long,�Share Our Wealth,http://www.americanrhetoric.com/speeches/hueyplongshare.htm
79,Gerald Rudolph Ford,Address on Taking the Oath of Office,http://www.americanrhetoric.com/speeches/geraldfordpresidentialoath.html
80,Cesar Estrada Chavez,Speech on Ending His 25 Day Fast ,http://www.americanrhetoric.com/speeches/cesarchavezspeechmexicanamerican&church.htm
81,Elizabeth Gurley Flynn,Statement at the Smith Act Trial,http://www.americanrhetoric.com/speeches/elizabethgurleyflynn.htm
82,Jimmy Earl Carter,A Crisis of Confidence,http://www.americanrhetoric.com/speeches/jimmycartercrisisofconfidence.htm
83,William Jefferson Clinton,Oklahoma Bombing Memorial Address,http://www.americanrhetoric.com/speeches/wjcoklahomabombingspeech.htm
84,Shirley Anita St. Hill Chisholm,For the Equal Rights Amendment,http://www.americanrhetoric.com/speeches/shirleychisholmequalrights.htm
85,Ronald Wilson Reagan,Brandenburg Gate Address,http://www.americanrhetoric.com/speeches/ronaldreaganbrandenburggate.htm
86,"Eliezer (""Elie"") Wiesel",The Perils of Indifference,http://www.americanrhetoric.com/speeches/ewieselperilsofindifference.html
87,Gerald Rudolph Ford,National Address Pardoning Richard M. Nixon,http://www.americanrhetoric.com/speeches/geraldfordpardonofnixon.htm
88,Thomas Woodrow Wilson,For the League of Nations,http://www.americanrhetoric.com/speeches/wilsontheleagueofnations.htm
89,Lyndon Baines Johnson,Let Us Continue,http://www.americanrhetoric.com/speeches/lbjletuscontinue.html
90,Joseph N. Welch,Have You No Sense of Decency,http://www.americanrhetoric.com/speeches/welch-mccarthy.html
91,Anna Eleanor Roosevelt,Adopting the Declaration of Human Rights,http://www.americanrhetoric.com/speeches/eleanorrooseveltdeclarationhumanrights.htm
92,Robert Francis Kennedy,Day of Affirmation,http://www.americanrhetoric.com/speeches/rfkcapetown.htm
93,John Forbes Kerry,Vietnam Veterans Against the War,http://www.americanrhetoric.com/speeches/johnkerrysenateforeignrelationsvietnamwar.htm
